parent_folder,direct_objects,direct_size_MB,unique_extensions
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V016,1300,277.7799015045166,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V004,1249,269.3621988296509,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V018,1195,255.35890579223633,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V013,1138,223.80648231506348,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V001,1135,233.38708114624023,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V015,1105,214.89396858215332,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V021,1099,238.44098949432373,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V003,1093,230.26647281646729,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V006,1087,238.03832340240479,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V008,1078,214.28234004974365,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V015,1075,215.2201690673828,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V018,1054,229.9001007080078,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V020,1054,217.2785129547119,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V012,1054,215.57715511322021,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V026,1045,218.0868158340454,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V028,1036,212.22976684570312,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V007,1036,204.25483989715576,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V024,1030,217.06263542175293,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V001,1024,192.62497520446777,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V024,1006,200.12482833862305,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V022,994,198.2385711669922,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V011,985,221.31068420410156,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V031,985,198.99934196472168,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V025,976,210.71402168273926,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V031,973,201.36643028259277,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V027,967,206.72328758239746,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V026,964,211.87529945373535,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V023,961,196.70748901367188,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V019,955,204.31987762451172,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V014,949,203.53864288330078,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V016,949,202.9126377105713,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V013,946,199.5263843536377,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V010,943,210.19786930084229,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V002,940,201.14693069458008,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V023,937,186.32606983184814,2
