"Round","No.","Query ID","Original Query ID","Query Text","Task Type","GT Video ID","GT Frame ID(s)","GT Answer","Status","Source File","Raw Ground Truth","Notes"
"1","3","r1::query-p1-4-kis","query-p1-4-kis","Một đàn sư tử đang nghỉ ngơi và leo trèo trên các bục gỗ trong khu nuôi dưỡng, phía trước có bảng thông tin của London Zoo phục vụ công tác theo dõi và bảo tồn động vật. Sau đó có cảnh hai nhân viên mặc áo xanh lá đang cân và ghi nhận số liệu của một con vật trong khuôn viên sở thú.","KIS","L22_V021","19638","","OK","aic2026_round_1.csv","L22_V021,19638",""
"1","5","r1::query-p1-6-kis","query-p1-6-kis","Mẩu tin bắt đầu với hình ảnh một người đàn ông mặc vest xanh đậm, sơ mi trắng và cà vạt, đang ngồi trên một chiếc ghế lớn. Ông cầm bằng hai tay một khối đá quý thô khá lớn, đưa lên gần mặt để quan sát. Bên phải là một phụ nữ mặc trang phục công sở màu đen và khăn trùm đầu màu hồng tím, đang đứng cạnh và mỉm cười. Tiếp theo có hình ảnh toàn cảnh từ trên cao của một mỏ đá quý lộ thiên quy mô lớn với hố khai thác sâu nhiều tầng và hệ thống đường vận chuyển bao quanh.","KIS","L22_V023","18106","","OK","aic2026_round_1.csv","L22_V023,18106",""
"1","10","r1::query-p1-11-kis","query-p1-11-kis","Cảnh quay chậm tại vị trí vạch đích của cuộc đua xe đạp. Góc máy sát mặt đường bắt trọn khoảnh khắc về đích theo thứ tự nhất, nhì, ba lần lượt là 1 tay đua áo vàng quần đen, 1 tay đua áo xanh dương quần đen và 1 tay đua áo xanh dương quần đỏ.","KIS","L23_V021","6365","","OK","aic2026_round_1.csv","L23_V021,6365",""
"1","11","r1::query-p1-12-kis","query-p1-12-kis","Có thể thấy trong cảnh quay có 4 tài xế xe ôm công nghệ trong trạm xăng, trong đó 3 người đứng đợi còn 1 người lái xe từ trái sang phải khung hình. Trước đó là cảnh một người đậy nắp bình xăng xe máy của họ. Có thông tin về giá dầu mazut được hiển thị trong khung hình.","KIS","L22_V015","3860","","OK","aic2026_round_1.csv","L22_V015,3860",""
"1","18","r1::query-p1-19-kis","query-p1-19-kis","Con lân do hai người điều khiển đang đứng thẳng và xoay vòng trên đỉnh cột. Sau vài giây nghỉ, con lân bất ngờ nhảy qua hai chiếc cột kế bên, chúi đầu xuống ngoạm lấy quả bí đỏ kèm bông hoa màu vàng. Cảnh quay kết thúc khi con lân tiếp tục nhảy sang các cột tiếp theo.","KIS","L24_V035","13967","","OK","aic2026_round_1.csv","L24_V035,13967",""
"1","19","r1::query-p1-20-kis","query-p1-20-kis","Ba người đang đi bộ xuống một con dốc trong cơn mưa, có 2 người cầm dù, trong đó người cầm dù đi sau lại mặc một chiếc áo mưa có in hình con gấu ở sau lưng. Sau đó ta thấy nhiều người đang cùng nhau bước về hướng một căn nhà thông qua một con đường đất, bên cạnh là một cái ao.","KIS","L21_V026","7481","","OK","aic2026_round_1.csv","L21_V026,7481",""
"1","20","r1::query-p1-22-kis","query-p1-22-kis","Người phụ nữ mặc áo dài màu hồng, đeo kính đang giảng giải về các trường hợp sử dụng khác nhau của động từ ""remember"" dựa trên mốc thời gian của hành động được nhắc tới.","KIS","L25_V041","17103","","OK","aic2026_round_1.csv","L25_V041,17103",""
"1","21","r1::query-p1-23-kis","query-p1-23-kis","Hình ảnh giáo viên nam mặc sơ mi trắng, thắt cà vạt tối màu, nổi bật trên phông nền xanh dương đậm có hoa văn mờ.Slide bài giảng: Nền trắng với khung viền màu hồng tím, phía trên có thanh tiêu đề xanh dương chứa họa tiết địa cầu và mũi tên vàng/xanh ngọc. Bên dưới là sơ đồ 3 tầng được liên kết bởi các mũi tên xanh ngọc trỏ xuống:Tầng 1: 2 khối hộp được bao bởi 1 khối hộp cam.Tầng 2: 1 khối hộp lớn màu xanh dương đậm ở chính giữa.Tầng 3: 2 khối hộp được bao bởi 1 khối hộp xanh lá cây.","KIS","L25_V060","28784","","OK","aic2026_round_1.csv","L25_V060,28784",""
"2","24","r2::query-p2-1-kis","query-p2-1-kis","Nhóm 5 người đang chơi đùa bên cạnh một con vật màu vàng. Một trong số đó đã mang một vật trông như trái bí đỏ đi giấu. Người đàn ông thức dậy không thấy quả bí đỏ đâu nên đánh thức con vật dậy.","KIS","L24_V035","545","","OK","aic2026_round_2.csv","L24_V035, 545",""
"2","25","r2::query-p2-2-kis","query-p2-2-kis","Đoạn clip bắt đầu với cảnh một người đang dùng điện thoại chụp ảnh bức tranh hình tê giác trên tường. Đoạn clip kết thúc với cảnh một người chụp ảnh các hình graffiti 3 chú khỉ trên một cây cầu.","KIS","L21_V013","22390","","OK","aic2026_round_2.csv","L21_V013        22390",""
"2","26","r2::query-p2-3-kis","query-p2-3-kis","Một chú lân (hay rồng/sư tử?) màu vàng nhảy hay rơi từ trên cao xuống, gần với mô hình chiếc tàu thủy nhỏ màu xanh dương.","KIS","L24_V044","589","","OK","aic2026_round_2.csv","L24_V044	589",""
"2","28","r2::query-p2-5-kis","query-p2-5-kis","Một người áo đỏ, đội nón màu trắng, đang lấy nước rưới vào mặt của mình. Khung hình có hai người đi xe đạp, người mặc áo xanh đậm đang đuổi theo người mặc áo đen phối cam.","KIS","L21_V022","26074","","OK","aic2026_round_2.csv","L21_V022	26074",""
"2","29","r2::query-p2-6-kis","query-p2-6-kis","Đoạn video do người đi đường phía sau ghi lại cho thấy 2 thanh niên điều khiển xe máy bất ngờ nằm dài trên yên và phóng với tốc độ cao. Xuất hiện trong khung hình còn có một chiếc ô tô màu xanh cùng một người đi xe máy mặc áo xanh khác. Có 2 vòng tròn màu đỏ xuất hiện để khoanh vùng vị trí 2 thanh niên này.","KIS","L22_V024","20698","","OK","aic2026_round_2.csv","L22_V024        20698",""
"2","32","r2::query-p2-14-kis","query-p2-14-kis","Cận cảnh một nhóm 3 vận động viên đua xe đạp đang di chuyển sát nhau, hai tay đua mặc áo xanh biển đội mũ bảo hiểm đỏ và trắng, bên cạnh có một tay đua mặc áo vàng đang đua cùng. Bên dưới quai mũ của tay đua nón đỏ có một sợi dây màu trắng treo lủng xuống gần cổ.","KIS","L23_V010","612","","OK","aic2026_round_2.csv","L23_V010	612",""
"2","35","r2::query-p2-18-kis","query-p2-18-kis","Đoạn phim quay từ phía sau nhóm dẫn đầu, gồm 1 tay đua dẫn trước và 3 tay đua bám phía sau, khi cả nhóm rẽ phải vào đường Hồ Tùng Mậu tại giao lộ có đèn xanh đang đếm ngược đến 13 giây.","KIS","L23_V017","2569","","OK","aic2026_round_2.csv","L23_V017,2569",""
"2","36","r2::query-p2-20-kis","query-p2-20-kis","Clip bài giảng môn Địa lí, có 1 bảng số liệu về mạng lưới đô thị ở Việt Nam. Bảng này thể hiện sự khác nhau về phân bố đô thị giữa các vùng bằng màu sắc: 3 vùng có nhiều đô thị nhất thì con số thể hiện số lượng đô thị được in màu đỏ, còn 2 vùng có ít đô thị nhất thì con số này được in màu xanh. Từ bảng số liệu ta còn có thể thấy rằng vùng có ít đô thị nhất lại là vùng có dân số đô thi cao nhất.","KIS","L25_V060","33299","","OK","aic2026_round_2.csv","L25_V060, 33299",""
"2","38","r2::query-p2-24-kis","query-p2-24-kis","Đoạn clip ghi lại khoảnh khắc về đích của một chặng đua xe đạp diễn ra tại thành phố thuộc tỉnh Quảng Nam (cũ, trước ngày 01/7/2025). Vận động viên người Estonia mặc áo xanh nước biển dẫn đầu đoàn. Khi chỉ còn cách đích một đoạn ngắn, anh buông cả hai tay khỏi ghi-đông, giang hai tay lên cao ăn mừng chiến thắng trong khi xe vẫn tiến về phía trước. Ngay phía sau anh là một vận động viên mặc áo vàng và một vận động viên mặc áo cam đang lần lượt lao về đích.","KIS","L23_V017","4317","","OK","aic2026_round_2.csv","L23_V017,4317",""
"2","39","r2::query-p2-25-kis","query-p2-25-kis","Cảnh giáo viên nam đeo kính, mặc áo sơ mi kẻ sọc ngắn tay, xuất hiện ở góc dưới bên trái và dùng hai tay làm cử chỉ minh họa khi đang giảng bài. Khung hình chứa một bức ảnh minh họa cô gái trẻ đeo kính, mặc áo sơ mi trắng, ngồi khoanh chân trên ghế sofa màu xám vừa cầm cốc nước vừa nhìn vào laptop mở trên đùi.","KIS","L25_V045","15596","","OK","aic2026_round_2.csv","L25_V045	15596",""
"2","40","r2::query-p2-26-kis","query-p2-26-kis","Đây là một đoạn trong bài giảng. Trên slide bao gồm: Một nhóm nhân vật người 3D màu trắng vây quanh một nhân vật màu đỏ ở chính giữa. Hai nhân vật hoạt hình nam đang trong tư thế thi đấu kéo co, đối đầu nhau với sợi dây thừng.","KIS","L25_V062","13734","","OK","aic2026_round_2.csv","L25_V062	13734",""
"3","53","r3::query-p2-2-kis","query-p2-2-kis","Một nhóm đông học sinh mặc đồng phục tập trung thành nhiều hàng trước khu vực trường học. Phía trước mỗi hàng có người cầm bảng ghi số lớp để phân chia các nhóm học sinh. Sau đó, các hàng học sinh lần lượt di chuyển vào bên trong khuôn viên trường dưới sự hướng dẫn của giáo viên. Cuối đoạn, học sinh nối thành hàng dài, đi qua hành lang và lên cầu thang của tòa nhà.","KIS","L22_V026","1514","","OK","aic2026_round_3.csv","L22_V026,1514",""
"3","54","r3::query-p2-4-kis","query-p2-4-kis","Một giáo viên nữ ngồi bên phải màn hình và giảng bài Tiếng Anh. Trên bảng xanh lần lượt xuất hiện hai câu ví dụ, một câu nói về việc đi bảo tàng vào tuần trước, câu còn lại nói về thói quen chơi bóng đá khi còn trẻ. Sau đó, nội dung trên bảng bổ sung phần giải thích chức năng của hai ví dụ và cuối cùng xuất hiện công thức ngữ pháp tương ứng.","KIS","L25_V075","975","","OK","aic2026_round_3.csv","L25_V075,975",""
"3","57","r3::query-p2-7-kis","query-p2-7-kis","Đoạn phim ghi lại cảnh giao thông trên đường phố, trong đó hai thanh niên chạy xe với tư thế bất cẩn trên làn ô tô, tiềm ẩn nguy cơ gây tai nạn giao thông.","KIS","L22_V024","20783","","OK","aic2026_round_3.csv","L22_V024,20783",""
"3","59","r3::query-p2-10-kis","query-p2-10-kis","Đoạn video ghi lại cuộc diễu hành của những chiếc xe lội nước độc đáo, có hình dáng như ô tô cổ điển nhưng có thể di chuyển trực tiếp trên mặt nước. Những chiếc xe lần lượt xuống kênh, chạy qua các cây cầu giữa sự theo dõi của đông đảo người dân đứng hai bên bờ. Nhiều mẫu xe với màu sắc và kiểu dáng khác nhau cùng di chuyển trên kênh, tạo nên một khung cảnh vừa lạ mắt vừa sôi động.","KIS","L21_V003","19779;19866","","OK","aic2026_round_3.csv","L21_V003,19779
L21_V003,19866","multiple_ground_truth_lines_primary_selected"
"3","67","r3::query-p2-19-kis","query-p2-19-kis","Sau khi lướt qua các cọc trụ, chú lân vàng đứng thăng bằng bằng ba chân trên ba đỉnh trụ, trước khi khéo léo đặt nốt chân còn lại lên trụ thứ tư. Chú lân cúi đầu ngoạm lấy cành hoa màu tím rồi xoay người quay lưng lại. Theo từng tiếng chập cheng vang lên, lân mở rồi đóng hàm đúng 4 nhịp, rồi nhả cành hoa rơi xuống đất.","KIS","L24_V032","13630","","OK","aic2026_round_3.csv","L24_V032,13630",""
"3","68","r3::query-p2-20-kis","query-p2-20-kis","Slide bài giảng về một nhóm hợp chất hữu cơ. Trong slide có 2 hình đặt cạnh nhau là hai biến thể của cùng 1 loại hạt lương thực, và ở nửa dưới là một sơ đồ phân loại của nhóm hợp chất ấy. Đáng chú ý có một phân loại được mô tả bởi cấu trúc phân tử là những dải hình tròn dài được bắc cầu với nhau bằng những cặp hình tròn màu tím.","KIS","L25_V021","14213","","OK","aic2026_round_3.csv","L25_V021,14213",""
"3","70","r3::query-p2-22-kis","query-p2-22-kis","Một phương tiện giao thông trên không chạy bằng điện đang bay thử nghiệm phía trên khuôn viên rộng lớn với những khu vườn xanh được cắt tỉa theo hình học và các công trình kiến trúc cổ kính. Phần phía trên thiết bị bay có dạng khung tròn lớn. Đây là việc thử nghiệm thiết bị bay này ở một nước Tây Âu.","KIS","L21_V012","20113","","OK","aic2026_round_3.csv","L21_V012,20113",""
"3","71","r3::query-p2-23-kis","query-p2-23-kis","Trong clip có cảnh 3 cặp trâu nước đang được điều khiển chạy đua trên ruộng bùn ở 1 quốc gia Đông Nam Á. Sau đó có cảnh 1 cặp trâu màu trắng (màu sáng) chạy đua.","KIS","L21_V005","23110","","OK","aic2026_round_3.csv","L21_V005, 23110",""
"3","74","r3::query-p2-26-kis","query-p2-26-kis","Một bài giảng chuyển qua nhiều sơ đồ hình học không gian. Các hình ban đầu gồm một đường xiên đi qua một hình phẳng và hai hình phẳng giao nhau. Tiếp đó xuất hiện một điểm phía trên một hình phẳng có đoạn thẳng nối vuông góc xuống dưới. Cuối cùng là một khối gồm bốn đỉnh, sau đó được bổ sung thêm các đường nét đứt, điểm và ký hiệu vuông góc.","KIS","L25_V043","6763;5871","","OK","aic2026_round_3.csv","L25_V043,6763
L25_V043,5871","multiple_ground_truth_lines_primary_selected"
"3","78","r3::query-p2-30-kis","query-p2-30-kis","Đoạn clip bắt đầu khi có 1 người đang phất cờ về đích đến trong chặng đua xe đạp quanh hồ. Ngay sau đó, một đoàn đông vận động viên xe đạp đang vào cua giữa khung cảnh đường phố rợp bóng cây. Một người đứng bên đường, tay trái cầm điện thoại để ghi hình, còn tay phải cầm một cây gậy có gắn thiết bị quay ở đầu hướng về phía đoàn đua.","KIS","L23_V018","8914","","OK","aic2026_round_3.csv","L23_018,8914","normalized_missing_V_in_video_id"
