STT,Tên file (optional),Query,Trạng thái,Đáp án
1,query-p2-1-kis,Nhóm 5 người đang chơi đùa bên cạnh một con vật màu vàng. Một trong số đó đã mang một vật trông như trái bí đỏ đi giấu. Người đàn ông thức dậy không thấy quả bí đỏ đâu nên đánh thức con vật dậy.,Chắn chắn,"L24_V035, 545"
2,query-p2-2-kis,Đoạn clip bắt đầu với cảnh một người đang dùng điện thoại chụp ảnh bức tranh hình tê giác trên tường. Đoạn clip kết thúc với cảnh một người chụp ảnh các hình graffiti 3 chú khỉ trên một cây cầu.,Chắn chắn,"L21_V013        22390
"
3,query-p2-3-kis,"Một chú lân (hay rồng/sư tử?) màu vàng nhảy hay rơi từ trên cao xuống, gần với mô hình chiếc tàu thủy nhỏ màu xanh dương.",Chắn chắn,"L24_V044	589"
4,query-p2-4-kis,"Hai bạn trẻ đang treo băng-rôn lớn có tông màu xanh dương, được trang trí bằng hình ảnh núi, mây và một con đường dẫn tới trường học. Trên băng rôn còn có hình ảnh 02 em bé vùng khó khăn đang mặc áo màu vàng.",Chắn chắn,"L30_V072	715
"
5,query-p2-5-kis,"Một người áo đỏ, đội nón màu trắng, đang lấy nước rưới vào mặt của mình. Khung hình có hai người đi xe đạp, người mặc áo xanh đậm đang đuổi theo người mặc áo đen phối cam.",Chắn chắn,"L21_V022	26074
"
6,query-p2-6-kis,Đoạn video do người đi đường phía sau ghi lại cho thấy 2 thanh niên điều khiển xe máy bất ngờ nằm dài trên yên và phóng với tốc độ cao. Xuất hiện trong khung hình còn có một chiếc ô tô màu xanh cùng một người đi xe máy mặc áo xanh khác. Có 2 vòng tròn màu đỏ xuất hiện để khoanh vùng vị trí 2 thanh niên này.,Chắn chắn,"L22_V024        20698
"
7,query-p2-10-kis,"Một đầu bếp chế biến món ăn trong chảo, với các miếng dồi trường màu trắng và rau xanh. Đầu bếp cho bông hẹ vào chảo đang có dồi trường rồi dùng dụng cụ đảo các nguyên liệu. Các đoạn bông hẹ dài màu xanh được trộn cùng những miếng dồi trường trắng trong chảo. Máy quay chuyển sang cận cảnh chảo khi đầu bếp tiếp tục xào và trộn hai nguyên liệu.",Đang làm,"L26_V120,5820

L26_V120,5225"
8,query-p2-11-kis,"Trong video, người đầu bếp cầm một nguyên liệu dài đã được xiên que và lăn qua hỗn hợp màu xanh lá cây và màu đỏ đã băm nhỏ. Nguyên liệu sau đó được chuyển sang một đĩa chứa bột trắng để phủ bên ngoài. Người đầu bếp cầm que xiên và xoay nguyên liệu qua lại nhiều lần trên lớp bột. Cuối cùng, nguyên liệu đã được phủ kín một lớp bột trắng và đặt riêng sang một chiếc đĩa.",Chắn chắn,L26_V392        3610
9,query-p2-13-kis,"Người đầu bếp đảo đều một hỗn hợp các nguyên liệu trong chảo, nhìn bằng mắt thường có thể thấy một số nguyên liệu như thịt gà, ớt đỏ, ớt xanh, đậu phộng và hành tím. Sau đó cô ấy tắt lửa, cho thêm vỏ chanh và nước cốt chanh vào chảo trước khi trút hỗn hợp thức ăn này ra đĩa.",Chắn chắn,"L26_V422,4258"
10,query-p2-14-kis,"Cận cảnh một nhóm 3 vận động viên đua xe đạp đang di chuyển sát nhau, hai tay đua mặc áo xanh biển đội mũ bảo hiểm đỏ và trắng, bên cạnh có một tay đua mặc áo vàng đang đua cùng. Bên dưới quai mũ của tay đua nón đỏ có một sợi dây màu trắng treo lủng xuống gần cổ.",Chắn chắn,"L23_V010	612
"
11,query-p2-15-kis,"Cảnh phim lần lượt giới thiệu các nguyên liệu của món ăn qua 3 chuyển cảnh: 
- máy quay chéo lên và kết thúc ở nguyên liệu hải sản đầu tiên; 
- quay từ trên xuống cận cảnh nguyên liệu hải sản thứ hai rồi 
- chuyển sang các nguyên liệu nhiều màu sắc; 
cuối cùng là cú máy tĩnh toàn cảnh toàn bộ nguyên liệu.",Cân nhắc,"L26_V188        367
Check 2: L26_V074 722"
12,query-p2-16-kis,"Trong một ngôi nhà nông thôn có cửa sổ lớn, hai người phụ nữ đang làm thủ công trên một bộ ván ngựa, phía sau là một dãy khoảng 10 thớt gỗ được treo thành một hàng ngang.",Chắn chắn,"L29_V014,14034"
13,query-p2-17-kis,"Sân khấu với dòng chữ nổi 3D to, ánh kim phủ kim tuyến có nội dung: “SẮC CỔ ...” đặt ở mép trước sân khấu.",Chắn chắn,"L30_V026	2356
"
14,query-p2-18-kis,"Đoạn phim quay từ phía sau nhóm dẫn đầu, gồm 1 tay đua dẫn trước và 3 tay đua bám phía sau, khi cả nhóm rẽ phải vào đường Hồ Tùng Mậu tại giao lộ có đèn xanh đang đếm ngược đến 13 giây.",Chắn chắn,"L23_V017,2569"
