folder,depth,objects_recursive,size_bytes_recursive,size_GB_recursive
processed,1,311301,62546581801,58.25104359630495
raw,1,961,95833339590,89.25175256095827
features,1,173,802439212,0.7473297528922558
manifests,1,42,1602909,0.001492825336754322
logs,1,28,548644,0.0005109645426273346
processed/keyframes,2,311174,62192293398,57.92108680866659
raw/source=kaggle,2,961,95833339590,89.25175256095827
features/extractors,2,163,738316336,0.6876106709241867
processed/keyframes_manifests,2,124,353878906,0.3295754138380289
manifests/pipeline=kaggle_ingest,2,42,1602909,0.001492825336754322
logs/pipeline=kaggle_ingest,2,28,548644,0.0005109645426273346
features/import_bundles,2,7,18578,1.730211079120636e-05
features/patches,2,3,64104298,0.05970177985727787
processed/feature-annotations,2,3,409497,0.0003813738003373146
processed/keyframes/dataset=ai_challenge_2025,3,311174,62192293398,57.92108680866659
raw/source=kaggle/dataset=ai_challenge_2025,3,961,95833339590,89.25175256095827
features/extractors/dataset=ai_challenge_2025,3,163,738316336,0.6876106709241867
processed/keyframes_manifests/dataset=ai_challenge_2025,3,124,353878906,0.3295754138380289
features/import_bundles/dataset=ai_challenge_2025,3,7,18578,1.730211079120636e-05
features/patches/dataset=ai_challenge_2025,3,3,64104298,0.05970177985727787
manifests/pipeline=kaggle_ingest/run_id=20260701T114411Z_ebe016fc,3,3,2663,2.4801120162010193e-06
manifests/pipeline=kaggle_ingest/run_id=20260702T134541Z_b6d0cb2f,3,3,27176,2.5309622287750244e-05
manifests/pipeline=kaggle_ingest/run_id=20260702T141333Z_80c68882,3,3,87542,8.152984082698822e-05
manifests/pipeline=kaggle_ingest/run_id=20260702T142821Z_938002a0,3,3,87533,8.152145892381668e-05
manifests/pipeline=kaggle_ingest/run_id=20260702T144306Z_36d77b92,3,3,87533,8.152145892381668e-05
manifests/pipeline=kaggle_ingest/run_id=20260702T145752Z_289afff3,3,3,87533,8.152145892381668e-05
manifests/pipeline=kaggle_ingest/run_id=20260702T151354Z_b1475415,3,3,87533,8.152145892381668e-05
manifests/pipeline=kaggle_ingest/run_id=20260707T023233Z_257cc35d,3,3,1796,1.6726553440093994e-06
manifests/pipeline=kaggle_ingest/run_id=20260707T100137Z_c3caedb8,3,3,3269,3.0444934964179993e-06
manifests/pipeline=kaggle_ingest/run_id=20260707T100546Z_5c261ae3,3,3,2656,2.473592758178711e-06
manifests/pipeline=kaggle_ingest/run_id=20260707T102455Z_b92f8031,3,3,27167,2.5301240384578705e-05
manifests/pipeline=kaggle_ingest/run_id=20260707T104254Z_3ee11a1c,3,3,87534,8.15223902463913e-05
manifests/pipeline=kaggle_ingest/run_id=20260707T105953Z_0de2cb82,3,3,3252,3.028661012649536e-06
manifests/pipeline=kaggle_ingest/run_id=20260707T132640Z_6e747af8,3,3,1009722,0.0009403768926858902
