Query,Trạng thái,Đáp án
"Câu query-p2-1-kis
Một chén trứng gà đã đánh tan được đổ vào nồi nước súp đang nấu. Trong nồi có các nguyên liệu được cắt thành sợi, gồm nấm và măng. Người đầu bếp dùng dao cắt đậu hũ thành từng miếng nhỏ ngay phía trên nồi. Đậu hũ được cho trực tiếp vào nồi rồi các nguyên liệu được khuấy đều với nhau.",Chắn chắn,"L26_V424,5111"
"Câu query-p2-2-kis
Một nhóm đông học sinh mặc đồng phục tập trung thành nhiều hàng trước khu vực trường học. Phía trước mỗi hàng có người cầm bảng ghi số lớp để phân chia các nhóm học sinh. Sau đó, các hàng học sinh lần lượt di chuyển vào bên trong khuôn viên trường dưới sự hướng dẫn của giáo viên. Cuối đoạn, học sinh nối thành hàng dài, đi qua hành lang và lên cầu thang của tòa nhà.",Chắn chắn,"L22_V026,1514"
"Câu query-p2-3-kis
Người đầu bếp lần lượt cho nhiều loại nguyên liệu vào một nồi nước dùng đang sôi. Đầu tiên, một loại rau củ màu cam được cho vào nồi. Sau đó, một loại nguyên liệu dạng ống nhỏ được đổ từ đĩa vào nồi. Tiếp theo, các loại rau củ và nấm được cho vào, gồm những miếng màu xanh và các lát nấm màu nâu. Cuối cùng, một đĩa thịt đã cắt thành từng miếng mỏng được đổ vào nồi để nấu cùng các nguyên liệu trước đó.",Cân nhắc,"L26_V390,6010"
"Câu query-p2-4-kis
Một giáo viên nữ ngồi bên phải màn hình và giảng bài Tiếng Anh. Trên bảng xanh lần lượt xuất hiện hai câu ví dụ, một câu nói về việc đi bảo tàng vào tuần trước, câu còn lại nói về thói quen chơi bóng đá khi còn trẻ. Sau đó, nội dung trên bảng bổ sung phần giải thích chức năng của hai ví dụ và cuối cùng xuất hiện công thức ngữ pháp tương ứng.",Chắn chắn,"L25_V075,975"
"Câu query-p2-5-qa
Một giáo viên nam đứng bên trái màn hình giảng bài ôn tập môn Địa lí. Nội dung trình chiếu giới thiệu khái quát một vùng kinh tế, sau đó chuyển sang vị trí địa lí, phạm vi lãnh thổ và ý nghĩa phát triển. Ở phần sau, một bản đồ khí hậu Việt Nam được đưa lên để minh họa cho bài giảng.
Câu hỏi: Theo nội dung bài giảng, vùng được nhắc đến gồm bao nhiêu tỉnh, thành?",Chắn chắn,"L25_V016,3651,""6"""
"Câu query-p2-6-qa
Một giáo viên nam đứng bên trái màn hình và giảng bài trước một máy tính. Trên màn hình lớn hiển thị hướng dẫn chấm điểm, trong đó phần a đề cập đến cấu trúc của bài nghị luận văn học gồm mở bài, thân bài và kết bài. Nội dung bài giảng liên quan đến một tác phẩm văn học và yêu cầu phân tích nhân vật. Phía dưới màn hình xuất hiện dòng chữ giới thiệu chương trình ôn thi môn Ngữ văn.
Câu hỏi: Tác giả được giới thiệu là người có duyên nợ gắn bó với đề tài miền núi nào?",Chắn chắn,"L25_V027,11842,""Tây Bắc""
"
"Câu query-p2-7-kis
Đoạn phim ghi lại cảnh giao thông trên đường phố, trong đó hai thanh niên chạy xe với tư thế bất cẩn trên làn ô tô, tiềm ẩn nguy cơ gây tai nạn giao thông.",Chắn chắn,"L22_V024,20783"
"Câu query-p2-8-qa
Đoạn phim ghi lại cuộc phỏng vấn một người đàn ông đam mê sưu tầm game, chia sẻ rằng niềm đam mê của anh được truyền cảm hứng từ món đồ chơi của bà mình. Trong đoạn phỏng vấn xuất hiện một dòng chữ neon phát sáng.
Câu hỏi: Dòng chữ đó là gì?",Chắn chắn,"L21_V018, 21393,""SEGA"""
"Câu query-p2-9-kis
Đoạn clip bắt đầu với các người mẫu trình diễn những bộ trang phục màu kem dáng rộng, được điểm xuyết bằng các mảng vải nhiều màu sắc và họa tiết hình học. Nhiều tác phẩm đầy màu sắc được trưng bày trên thảm cỏ ngoài trời, thu hút đông đảo người dân và du khách tham quan. Những món đồ thủ công như búp bê và quả cầu được tạo nên từ nhiều mảnh vải màu sắc, hoa văn khác nhau.",Không tra ra,
"Câu query-p2-10-kis
Đoạn video ghi lại cuộc diễu hành của những chiếc xe lội nước độc đáo, có hình dáng như ô tô cổ điển nhưng có thể di chuyển trực tiếp trên mặt nước. Những chiếc xe lần lượt xuống kênh, chạy qua các cây cầu giữa sự theo dõi của đông đảo người dân đứng hai bên bờ. Nhiều mẫu xe với màu sắc và kiểu dáng khác nhau cùng di chuyển trên kênh, tạo nên một khung cảnh vừa lạ mắt vừa sôi động.",Chắn chắn,"L21_V003,19866"
