query_id,task_type,query_text,gt_video_id,gt_frame_ids,gt_answer,num_predictions,first_correct_video_rank,video_top_bucket,first_positive_r_rank,positive_top_bucket,first_full_hit_rank,full_hit_top_bucket,best_r_score,best_r_rank,R@1,R@5,R@20,R@50,R@100,btc_final_score,rr_correct_video,rr_positive,rr_full_hit
query-p2-1-kis,KIS,"Một chén trứng gà đã đánh tan được đổ vào nồi nước súp đang nấu. Trong nồi có các nguyên liệu được cắt thành sợi, gồm nấm và măng. Người đầu bếp dùng dao cắt đậu hũ thành từng miếng nhỏ ngay phía trên nồi. Đậu hũ được cho trực tiếp vào nồi rồi các nguyên liệu được khuấy đều với nhau.",L26_V424,5582,,50,1.0,Top1,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
query-p2-2-kis,KIS,"Một nhóm đông học sinh mặc đồng phục tập trung thành nhiều hàng trước khu vực trường học. Phía trước mỗi hàng có người cầm bảng ghi số lớp để phân chia các nhóm học sinh. Sau đó, các hàng học sinh lần lượt di chuyển vào bên trong khuôn viên trường dưới sự hướng dẫn của giáo viên. Cuối đoạn, học sinh nối thành hàng dài, đi qua hành lang và lên cầu thang của tòa nhà.",L22_V026,1513,,50,2.0,Top5,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
query-p2-3-kis,KIS,"Người đầu bếp lần lượt cho nhiều loại nguyên liệu vào một nồi nước dùng đang sôi. Đầu tiên, một loại rau củ màu cam được cho vào nồi. Sau đó, một loại nguyên liệu dạng ống nhỏ được đổ từ đĩa vào nồi. Tiếp theo, các loại rau củ và nấm được cho vào, gồm những miếng màu xanh và các lát nấm màu nâu. Cuối cùng, một đĩa thịt đã cắt thành từng miếng mỏng được đổ vào nồi để nấu cùng các nguyên liệu trước đó.",L26_V390,5983,,50,50.0,Top50,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
query-p2-4-kis,KIS,"Một giáo viên nữ ngồi bên phải màn hình và giảng bài Tiếng Anh. Trên bảng xanh lần lượt xuất hiện hai câu ví dụ, một câu nói về việc đi bảo tàng vào tuần trước, câu còn lại nói về thói quen chơi bóng đá khi còn trẻ. Sau đó, nội dung trên bảng bổ sung phần giải thích chức năng của hai ví dụ và cuối cùng xuất hiện công thức ngữ pháp tương ứng.",L25_V075,2202,,50,1.0,Top1,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
query-p2-7-kis,KIS,"Đoạn phim ghi lại cảnh giao thông trên đường phố, trong đó hai thanh niên chạy xe với tư thế bất cẩn trên làn ô tô, tiềm ẩn nguy cơ gây tai nạn giao thông.",L22_V024,20782,,50,3.0,Top5,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
query-p2-10-kis,KIS,"Đoạn video ghi lại cuộc diễu hành của những chiếc xe lội nước độc đáo, có hình dáng như ô tô cổ điển nhưng có thể di chuyển trực tiếp trên mặt nước. Những chiếc xe lần lượt xuống kênh, chạy qua các cây cầu giữa sự theo dõi của đông đảo người dân đứng hai bên bờ. Nhiều mẫu xe với màu sắc và kiểu dáng khác nhau cùng di chuyển trên kênh, tạo nên một khung cảnh vừa lạ mắt vừa sôi động.",L21_V003,25995,,50,1.0,Top1,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
query-p2-11-kis,KIS,"Người phụ nữ đang lấy 1 thành phẩm từ trong đồ vật màu đỏ, và cho lần lượt nguyên liệu vào tiếp. Thành phẩm có màu trắng, được nở to hơn ban đầu, có hình thù giống các sợi que dính với nhau. Các thành phẩm được bày trí trên 1 vật liệu màu trắng.",L26_V483,590,,50,,MISS,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query-p2-12-kis,KIS,"Một người đang đổ 1 chất lỏng đựng trong bát màu trắng vào chiếc chảo màu đỏ. Sau khi chất lỏng được xóc đều cùng các thực phẩm có sẵn trong chảo, tạo 1 hiện tượng bốc lên trong chảo có màu hồng. Sau đó chuyển từ nồi to qua nồi nhỏ hơn, công đoạn tương tự, khi chất lỏng tiếp xúc lửa trên bếp đều tạo chung 1 hiện tượng.",L26_V484,5988,,50,,MISS,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query-p2-13-kis,KIS,"Hàng trăm chiếc lờ/lợp bắt cá bằng tre đan được tập kết thành từng dãy lớn bên bờ sông. Khung cảnh bờ sông miền Tây rợp bóng những hàng dừa, với ghe neo sát mép nước và rất nhiều cần xé tre được tập kết dưới các gốc dừa, tạo nên nét sinh hoạt làng nghề mộc mạc, đặc trưng vùng sông nước.",L29_V014,18661,,50,1.0,Top1,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
query-p2-15-kis,KIS,"Đoạn video ghi lại cảnh 1 người đầu bếp đã sơ chế thực phẩm với nước lạnh và để ráo nước. Sau đó, đầu bếp sử dụng 1 loạt bột nhào chung với thực phẩm, để qua một bên và chuẩn bị các loại gia vị khác. Tiếp theo, đầu bếp cho 1 miếng nguyên liệu màu xanh lá cây kết hợp 2 miếng màu vàng vào 1 chảo màu đỏ đã đổ dầu ăn trước khi chiên thực phẩm chính.",L26_V480,4667,,50,35.0,Top50,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
